Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 16:11:16,75,72.375C,10.4%,23.6%,0.33Hz,0,
12/12/2019 16:11:26,76,72.375C,10.4%,23.6%,0.33Hz,0,
12/12/2019 16:11:36,77,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:11:46,78,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:11:56,79,72.437C,9.4%,23.3%,0.33Hz,0,
12/12/2019 16:12:06,80,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:12:16,81,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:12:26,82,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:12:36,83,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:12:46,84,72.562C,7.3%,22.6%,0.33Hz,0,
12/12/2019 16:12:56,85,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:13:06,86,72.437C,9.4%,23.3%,0.33Hz,0,
12/12/2019 16:13:16,87,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:13:26,88,72.437C,9.4%,23.3%,0.33Hz,0,
12/12/2019 16:13:36,89,72.437C,9.4%,23.3%,0.33Hz,0,
12/12/2019 16:13:46,90,72.437C,9.4%,23.3%,0.33Hz,0,
12/12/2019 16:13:56,91,72.5C,8.3%,22.9%,0.33Hz,0,
12/12/2019 16:14:06,92,72.437C,9.4%,23.3%,0.33Hz,0,
12/12/2019 16:14:16,93,72.375C,10.4%,23.6%,0.33Hz,0,
12/12/2019 16:14:26,94,71.312C,28.1%,29.8%,0.33Hz,0,
12/12/2019 16:14:36,95,70.062C,49.0%,37.1%,0.33Hz,0,
12/12/2019 16:14:46,96,69.062C,65.6%,43.0%,0.33Hz,0,
12/12/2019 16:14:56,97,68.062C,82.3%,48.8%,0.33Hz,0,
12/12/2019 16:15:06,98,67.125C,97.9%,54.3%,0.33Hz,0,
12/12/2019 16:15:16,99,66.312C,100%,55.0%,0.33Hz,0,
12/12/2019 16:15:26,100,65.5C,100%,55.0%,0.33Hz,0,
12/12/2019 16:15:36,101,64.687C,100%,55.0%,0.33Hz,0,
12/12/2019 16:15:46,102,63.937000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:15:56,103,63.312000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:16:06,104,62.75C,100%,55.0%,0.33Hz,0,
12/12/2019 16:16:16,105,62.125C,100%,55.0%,0.33Hz,0,
12/12/2019 16:16:26,106,61.562000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:16:36,107,61.062000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:16:46,108,60.437000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:16:56,109,59.937000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:17:06,110,59.437000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:17:16,111,59.0C,100%,55.0%,0.33Hz,0,
12/12/2019 16:17:26,112,58.562000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:17:36,113,58.125C,100%,55.0%,0.33Hz,0,
12/12/2019 16:17:46,114,57.625C,100%,55.0%,0.33Hz,0,
12/12/2019 16:17:56,115,57.187000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:18:06,116,56.812000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:18:16,117,56.437000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:18:26,118,56.062000000000005C,100%,55.0%,0.33Hz,0,
12/12/2019 16:18:36,119,55.687C,100%,55.0%,0.33Hz,0,
12/12/2019 16:18:46,120,55.312C,100%,55.0%,0.33Hz,0,
12/12/2019 16:18:56,121,54.937C,100%,55.0%,0.33Hz,0,
12/12/2019 16:19:06,122,54.687C,100%,55.0%,0.33Hz,0,
12/12/2019 16:19:16,123,54.312C,100%,55.0%,0.33Hz,0,
12/12/2019 16:19:26,124,54.062C,100%,55.0%,0.33Hz,0,
12/12/2019 16:19:36,125,53.75C,100%,55.0%,0.33Hz,0,
